Area,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,Item_normalized
Angola,1992,42295,1010.0,23.0,23.96,cassava
Angola,1992,40000,1010.0,23.0,23.96,potatoes
Angola,1992,90000,1010.0,23.0,23.96,sweet potatoes
Angola,1993,42295,1010.0,169.0,24.15,cassava
Angola,1993,70000,1010.0,169.0,24.15,potatoes
Angola,1993,88095,1010.0,169.0,24.15,sweet potatoes
Angola,1994,58596,1010.0,25.5,24.04,cassava
Angola,1994,90000,1010.0,25.5,24.04,potatoes
Angola,1994,83192,1010.0,25.5,24.04,sweet potatoes
Angola,1995,51000,1010.0,336.0,24.56,cassava
Angola,1995,76738,1010.0,336.0,24.56,potatoes
Angola,1995,81138,1010.0,336.0,24.56,sweet potatoes
Angola,1996,48077,1010.0,40.0,24.11,cassava
Angola,1996,70000,1010.0,40.0,24.11,potatoes
Angola,1996,85455,1010.0,40.0,24.11,sweet potatoes
Angola,1997,44205,1010.0,40.0,24.06,cassava
Angola,1997,68571,1010.0,40.0,24.06,potatoes
Angola,1997,78098,1010.0,40.0,24.06,sweet potatoes
Angola,1998,55728,1010.0,40.0,24.96,cassava
Angola,1998,62724,1010.0,40.0,24.96,potatoes
Angola,1998,76256,1010.0,40.0,24.96,sweet potatoes
Angola,1999,59821,1010.0,40.0,24.37,cassava
Angola,1999,54597,1010.0,40.0,24.37,potatoes
Angola,1999,82865,1010.0,40.0,24.37,sweet potatoes
Angola,2000,82992,1010.0,40.0,24.41,cassava
Angola,2000,29885,1010.0,40.0,24.41,potatoes
Angola,2000,2333,1010.0,40.0,24.41,soybeans
Angola,2000,34938,1010.0,40.0,24.41,sweet potatoes
Angola,2001,94072,1010.0,40.0,24.43,cassava
Angola,2001,42552,1010.0,40.0,24.43,potatoes
Angola,2001,2500,1010.0,40.0,24.43,soybeans
Angola,2001,44458,1010.0,40.0,24.43,sweet potatoes
Angola,2002,110071,1010.0,40.0,24.79,cassava
Angola,2002,42754,1010.0,40.0,24.79,potatoes
Angola,2002,2857,1010.0,40.0,24.79,soybeans
Angola,2002,42190,1010.0,40.0,24.79,sweet potatoes
Angola,2004,125605,1010.0,40.0,24.22,cassava
Angola,2004,20150,1010.0,40.0,24.22,potatoes
Angola,2004,3600,1010.0,40.0,24.22,soybeans
Angola,2004,45360,1010.0,40.0,24.22,sweet potatoes
Angola,2005,117628,1010.0,40.0,24.41,cassava
Angola,2005,23646,1010.0,40.0,24.41,potatoes
Angola,2005,3793,1010.0,40.0,24.41,soybeans
Angola,2005,46159,1010.0,40.0,24.41,sweet potatoes
Angola,2006,117201,1010.0,40.0,24.14,cassava
Angola,2006,52148,1010.0,40.0,24.14,potatoes
Angola,2006,4286,1010.0,40.0,24.14,soybeans
Angola,2006,44240,1010.0,40.0,24.14,sweet potatoes
Angola,2007,115387,1010.0,40.0,24.24,cassava
Angola,2007,62138,1010.0,40.0,24.24,potatoes
Angola,2007,6883,1010.0,40.0,24.24,soybeans
Angola,2007,58855,1010.0,40.0,24.24,sweet potatoes
Angola,2008,148084,1010.0,40.0,24.27,cassava
Angola,2008,85085,1010.0,40.0,24.27,potatoes
Angola,2008,8575,1010.0,40.0,24.27,soybeans
Angola,2008,65437,1010.0,40.0,24.27,sweet potatoes
Angola,2009,151759,1010.0,40.0,24.33,cassava
Angola,2009,86509,1010.0,40.0,24.33,potatoes
Angola,2009,4449,1010.0,40.0,24.33,soybeans
Angola,2009,66475,1010.0,40.0,24.33,sweet potatoes
Angola,2010,155782,1010.0,40.0,24.44,cassava
Angola,2010,87425,1010.0,40.0,24.44,potatoes
Angola,2010,4446,1010.0,40.0,24.44,soybeans
Angola,2010,63001,1010.0,40.0,24.44,sweet potatoes
Angola,2011,133649,1010.0,40.0,24.15,cassava
Angola,2011,81366,1010.0,40.0,24.15,potatoes
Angola,2011,5294,1010.0,40.0,24.15,soybeans
Angola,2011,65512,1010.0,40.0,24.15,sweet potatoes
Angola,2012,100073,1010.0,40.0,24.24,cassava
Angola,2012,69381,1010.0,40.0,24.24,potatoes
Angola,2012,1641,1010.0,40.0,24.24,soybeans
Angola,2012,52954,1010.0,40.0,24.24,sweet potatoes
Angola,2013,140517,1010.0,40.0,24.55,cassava
Angola,2013,63303,1010.0,40.0,24.55,potatoes
Angola,2013,4405,1010.0,40.0,24.55,soybeans
Angola,2013,73409,1010.0,40.0,24.55,sweet potatoes
Argentina,1990,100000,591.0,26156.0,17.46,cassava
Argentina,1990,100000,591.0,26156.0,17.67,cassava
Argentina,1990,202747,591.0,26156.0,17.46,potatoes
Argentina,1990,202747,591.0,26156.0,17.67,potatoes
Argentina,1990,21566,591.0,26156.0,17.46,soybeans
Argentina,1990,21566,591.0,26156.0,17.67,soybeans
Argentina,1990,131864,591.0,26156.0,17.46,sweet potatoes
Argentina,1990,131864,591.0,26156.0,17.67,sweet potatoes
Argentina,1991,100000,591.0,26156.0,17.64,cassava
Argentina,1991,100000,591.0,26156.0,17.86,cassava
Argentina,1991,205692,591.0,26156.0,17.64,potatoes
Argentina,1991,205692,591.0,26156.0,17.86,potatoes
Argentina,1991,22750,591.0,26156.0,17.64,soybeans
Argentina,1991,22750,591.0,26156.0,17.86,soybeans
Argentina,1991,131364,591.0,26156.0,17.64,sweet potatoes
Argentina,1991,131364,591.0,26156.0,17.86,sweet potatoes
Argentina,1992,100000,591.0,26156.0,17.09,cassava
Argentina,1992,100000,591.0,26156.0,17.51,cassava
Argentina,1992,199039,591.0,26156.0,17.09,potatoes
Argentina,1992,199039,591.0,26156.0,17.51,potatoes
Argentina,1992,22915,591.0,26156.0,17.09,soybeans
Argentina,1992,22915,591.0,26156.0,17.51,soybeans
Argentina,1992,127273,591.0,26156.0,17.09,sweet potatoes
Argentina,1992,127273,591.0,26156.0,17.51,sweet potatoes
Argentina,1993,100000,591.0,26156.0,17.32,cassava
Argentina,1993,100000,591.0,26156.0,17.53,cassava
Argentina,1993,210314,591.0,26156.0,17.32,potatoes
Argentina,1993,210314,591.0,26156.0,17.53,potatoes
Argentina,1993,21589,591.0,26156.0,17.32,soybeans
Argentina,1993,21589,591.0,26156.0,17.53,soybeans
Argentina,1993,122955,591.0,26156.0,17.32,sweet potatoes
Argentina,1993,122955,591.0,26156.0,17.53,sweet potatoes
Argentina,1994,100000,591.0,30195.0,18.17,cassava
Argentina,1994,100000,591.0,30195.0,18.31,cassava
Argentina,1994,230166,591.0,30195.0,18.17,potatoes
Argentina,1994,230166,591.0,30195.0,18.31,potatoes
Argentina,1994,20386,591.0,30195.0,18.17,soybeans
Argentina,1994,20386,591.0,30195.0,18.31,soybeans
Argentina,1994,176667,591.0,30195.0,18.17,sweet potatoes
Argentina,1994,176667,591.0,30195.0,18.31,sweet potatoes
Argentina,1995,100000,591.0,37842.0,17.74,cassava
Argentina,1995,100000,591.0,37842.0,17.62,cassava
Argentina,1995,274272,591.0,37842.0,17.74,potatoes
Argentina,1995,274272,591.0,37842.0,17.62,potatoes
Argentina,1995,20446,591.0,37842.0,17.74,soybeans
Argentina,1995,20446,591.0,37842.0,17.62,soybeans
Argentina,1995,168000,591.0,37842.0,17.74,sweet potatoes
Argentina,1995,168000,591.0,37842.0,17.62,sweet potatoes
Argentina,1996,100000,591.0,54595.0,17.64,cassava
Argentina,1996,100000,591.0,54595.0,17.97,cassava
Argentina,1996,228877,591.0,54595.0,17.64,potatoes
Argentina,1996,228877,591.0,54595.0,17.97,potatoes
Argentina,1996,21051,591.0,54595.0,17.64,soybeans
Argentina,1996,21051,591.0,54595.0,17.97,soybeans
Argentina,1996,170000,591.0,54595.0,17.64,sweet potatoes
Argentina,1996,170000,591.0,54595.0,17.97,sweet potatoes
Argentina,1997,100000,591.0,77691.0,18.29,cassava
Argentina,1997,100000,591.0,77691.0,18.54,cassava
Argentina,1997,268502,591.0,77691.0,18.29,potatoes
Argentina,1997,268502,591.0,77691.0,18.54,potatoes
Argentina,1997,17212,591.0,77691.0,18.29,soybeans
Argentina,1997,17212,591.0,77691.0,18.54,soybeans
Argentina,1997,145662,591.0,77691.0,18.29,sweet potatoes
Argentina,1997,145662,591.0,77691.0,18.54,sweet potatoes
Argentina,1998,100000,591.0,62397.0,17.23,cassava
Argentina,1998,100000,591.0,62397.0,17.52,cassava
Argentina,1998,293744,591.0,62397.0,17.23,potatoes
Argentina,1998,293744,591.0,62397.0,17.52,potatoes
Argentina,1998,26937,591.0,62397.0,17.23,soybeans
Argentina,1998,26937,591.0,62397.0,17.52,soybeans
Argentina,1998,175055,591.0,62397.0,17.23,sweet potatoes
Argentina,1998,175055,591.0,62397.0,17.52,sweet potatoes
Argentina,1999,100000,591.0,62831.39,17.15,cassava
Argentina,1999,100000,591.0,62831.39,17.71,cassava
Argentina,1999,238938,591.0,62831.39,17.15,potatoes
Argentina,1999,238938,591.0,62831.39,17.71,potatoes
Argentina,1999,24450,591.0,62831.39,17.15,soybeans
Argentina,1999,24450,591.0,62831.39,17.71,soybeans
Argentina,1999,143991,591.0,62831.39,17.15,sweet potatoes
Argentina,1999,143991,591.0,62831.39,17.71,sweet potatoes
Argentina,2000,100000,591.0,63265.78,16.98,cassava
Argentina,2000,100000,591.0,63265.78,17.66,cassava
Argentina,2000,277566,591.0,63265.78,16.98,potatoes
Argentina,2000,277566,591.0,63265.78,17.66,potatoes
Argentina,2000,23312,591.0,63265.78,16.98,soybeans
Argentina,2000,23312,591.0,63265.78,17.66,soybeans
Argentina,2000,151462,591.0,63265.78,16.98,sweet potatoes
Argentina,2000,151462,591.0,63265.78,17.66,sweet potatoes
Argentina,2001,100000,591.0,63700.17,17.71,cassava
Argentina,2001,100000,591.0,63700.17,18.42,cassava
Argentina,2001,283768,591.0,63700.17,17.71,potatoes
Argentina,2001,283768,591.0,63700.17,18.42,potatoes
Argentina,2001,25846,591.0,63700.17,17.71,soybeans
Argentina,2001,25846,591.0,63700.17,18.42,soybeans
Argentina,2001,155212,591.0,63700.17,17.71,sweet potatoes
Argentina,2001,155212,591.0,63700.17,18.42,sweet potatoes
Argentina,2002,100000,591.0,64134.56,17.58,cassava
Argentina,2002,100000,591.0,64134.56,18.07,cassava
Argentina,2002,251347,591.0,64134.56,17.58,potatoes
Argentina,2002,251347,591.0,64134.56,18.07,potatoes
Argentina,2002,26304,591.0,64134.56,17.58,soybeans
Argentina,2002,26304,591.0,64134.56,18.07,soybeans
Argentina,2002,155890,591.0,64134.56,17.58,sweet potatoes
Argentina,2002,155890,591.0,64134.56,18.07,sweet potatoes
Argentina,2004,100000,591.0,65003.34,17.67,cassava
Argentina,2004,100000,591.0,65003.34,18.11,cassava
Argentina,2004,288717,591.0,65003.34,17.67,potatoes
Argentina,2004,288717,591.0,65003.34,18.11,potatoes
Argentina,2004,22075,591.0,65003.34,17.67,soybeans
Argentina,2004,22075,591.0,65003.34,18.11,soybeans
Argentina,2004,154867,591.0,65003.34,17.67,sweet potatoes
Argentina,2004,154867,591.0,65003.34,18.11,sweet potatoes
Argentina,2005,100000,591.0,65437.73,17.32,cassava
Argentina,2005,100000,591.0,65437.73,17.83,cassava
Argentina,2005,283917,591.0,65437.73,17.32,potatoes
Argentina,2005,283917,591.0,65437.73,17.83,potatoes
Argentina,2005,27287,591.0,65437.73,17.32,soybeans
Argentina,2005,27287,591.0,65437.73,17.83,soybeans
Argentina,2005,154472,591.0,65437.73,17.32,sweet potatoes
Argentina,2005,154472,591.0,65437.73,17.83,sweet potatoes
Argentina,2006,100000,591.0,65872.12,18.1,cassava
Argentina,2006,100000,591.0,65872.12,18.35,cassava
Argentina,2006,285828,591.0,65872.12,18.1,potatoes
Argentina,2006,285828,591.0,65872.12,18.35,potatoes
Argentina,2006,26793,591.0,65872.12,18.1,soybeans
Argentina,2006,26793,591.0,65872.12,18.35,soybeans
Argentina,2006,143478,591.0,65872.12,18.1,sweet potatoes
Argentina,2006,143478,591.0,65872.12,18.35,sweet potatoes
Argentina,2007,100000,591.0,81582.64,16.71,cassava
Argentina,2007,100000,591.0,81582.64,17.14,cassava
Argentina,2007,286765,591.0,81582.64,16.71,potatoes
Argentina,2007,286765,591.0,81582.64,17.14,potatoes
Argentina,2007,29712,591.0,81582.64,16.71,soybeans
Argentina,2007,29712,591.0,81582.64,17.14,soybeans
Argentina,2007,141667,591.0,81582.64,16.71,sweet potatoes
Argentina,2007,141667,591.0,81582.64,17.14,sweet potatoes
Argentina,2008,100000,591.0,87149.01,17.71,cassava
Argentina,2008,100000,591.0,87149.01,18.39,cassava
Argentina,2008,279412,591.0,87149.01,17.71,potatoes
Argentina,2008,279412,591.0,87149.01,18.39,potatoes
Argentina,2008,28216,591.0,87149.01,17.71,soybeans
Argentina,2008,28216,591.0,87149.01,18.39,soybeans
Argentina,2008,145105,591.0,87149.01,17.71,sweet potatoes
Argentina,2008,145105,591.0,87149.01,18.39,sweet potatoes
Argentina,2009,101695,591.0,61586.56,18.16,cassava
Argentina,2009,101695,591.0,61586.56,18.09,cassava
Argentina,2009,284439,591.0,61586.56,18.16,potatoes
Argentina,2009,284439,591.0,61586.56,18.09,potatoes
Argentina,2009,18480,591.0,61586.56,18.16,soybeans
Argentina,2009,18480,591.0,61586.56,18.09,soybeans
Argentina,2009,151208,591.0,61586.56,18.16,sweet potatoes
Argentina,2009,151208,591.0,61586.56,18.09,sweet potatoes
Argentina,2010,101000,591.0,105915.04,17.33,cassava
Argentina,2010,101000,591.0,105915.04,17.84,cassava
Argentina,2010,289849,591.0,105915.04,17.33,potatoes
Argentina,2010,289849,591.0,105915.04,17.84,potatoes
Argentina,2010,29053,591.0,105915.04,17.33,soybeans
Argentina,2010,29053,591.0,105915.04,17.84,soybeans
Argentina,2010,149382,591.0,105915.04,17.33,sweet potatoes
Argentina,2010,149382,591.0,105915.04,17.84,sweet potatoes
Argentina,2011,100000,591.0,100424.62,17.58,cassava
Argentina,2011,100000,591.0,100424.62,17.93,cassava
Argentina,2011,286657,591.0,100424.62,17.58,potatoes
Argentina,2011,286657,591.0,100424.62,17.93,potatoes
Argentina,2011,26053,591.0,100424.62,17.58,soybeans
Argentina,2011,26053,591.0,100424.62,17.93,soybeans
Argentina,2011,148754,591.0,100424.62,17.58,sweet potatoes
Argentina,2011,148754,591.0,100424.62,17.93,sweet potatoes
Argentina,2012,100000,591.0,136185.08,18.18,cassava
Argentina,2012,100000,591.0,136185.08,18.43,cassava
Argentina,2012,287821,591.0,136185.08,18.18,potatoes
Argentina,2012,287821,591.0,136185.08,18.43,potatoes
Argentina,2012,22814,591.0,136185.08,18.18,soybeans
Argentina,2012,22814,591.0,136185.08,18.43,soybeans
Argentina,2012,148126,591.0,136185.08,18.18,sweet potatoes
Argentina,2012,148126,591.0,136185.08,18.43,sweet potatoes
Argentina,2013,99459,591.0,171945.54,16.45,cassava
Argentina,2013,99459,591.0,171945.54,16.88,cassava
Argentina,2013,288984,591.0,171945.54,16.45,potatoes
Argentina,2013,288984,591.0,171945.54,16.88,potatoes
Argentina,2013,25391,591.0,171945.54,16.45,soybeans
Argentina,2013,25391,591.0,171945.54,16.88,soybeans
Argentina,2013,147498,591.0,171945.54,16.45,sweet potatoes
Argentina,2013,147498,591.0,171945.54,16.88,sweet potatoes
Armenia,1992,111301,562.0,8.0,7.44,potatoes
Armenia,1993,134416,562.0,8.0,7.69,potatoes
Armenia,1994,131195,562.0,23.0,8.84,potatoes
Armenia,1995,131196,562.0,23.9,9.76,potatoes
Armenia,1996,129626,562.0,32.0,9.55,potatoes
Armenia,1997,109362,562.0,41.46,9.1,potatoes
Armenia,1998,134409,562.0,50.92,10.28,potatoes
Armenia,1999,130618,562.0,60.38,10.11,potatoes
Armenia,2000,87349,562.0,69.85,9.68,potatoes
Armenia,2001,114619,562.0,79.31,10.18,potatoes
Armenia,2002,122814,562.0,88.77,9.41,potatoes
Armenia,2004,161509,562.0,204.77,9.55,potatoes
Armenia,2005,164459,562.0,220.51,9.58,potatoes
Armenia,2006,163418,562.0,227.55,9.89,potatoes
Armenia,2007,184719,562.0,241.71,9.44,potatoes
Armenia,2008,189096,562.0,218.2,9.51,potatoes
Armenia,2009,185496,562.0,198.36,9.67,potatoes
Armenia,2010,170146,562.0,278.72,11.31,potatoes
Armenia,2011,194426,562.0,278.72,8.93,potatoes
Armenia,2012,207151,562.0,278.72,10.2,potatoes
Armenia,2013,215290,562.0,278.72,11.08,potatoes
Australia,1990,289832,534.0,17866.0,16.8,potatoes
Australia,1990,289832,534.0,17866.0,20.06,potatoes
Australia,1990,289832,534.0,17866.0,12.11,potatoes
Australia,1990,289832,534.0,17866.0,14.16,potatoes
Australia,1990,289832,534.0,17866.0,18.05,potatoes
Australia,1990,289832,534.0,17866.0,17.47,potatoes
Australia,1990,15718,534.0,17866.0,16.8,soybeans
Australia,1990,15718,534.0,17866.0,20.06,soybeans
Australia,1990,15718,534.0,17866.0,12.11,soybeans
Australia,1990,15718,534.0,17866.0,14.16,soybeans
Australia,1990,15718,534.0,17866.0,18.05,soybeans
Australia,1990,15718,534.0,17866.0,17.47,soybeans
Australia,1990,137140,534.0,17866.0,16.8,sweet potatoes
Australia,1990,137140,534.0,17866.0,20.06,sweet potatoes
Australia,1990,137140,534.0,17866.0,12.11,sweet potatoes
Australia,1990,137140,534.0,17866.0,14.16,sweet potatoes
Australia,1990,137140,534.0,17866.0,18.05,sweet potatoes
Australia,1990,137140,534.0,17866.0,17.47,sweet potatoes
Australia,1991,285359,534.0,17866.0,16.78,potatoes
Australia,1991,285359,534.0,17866.0,20.29,potatoes
Australia,1991,285359,534.0,17866.0,12.22,potatoes
Australia,1991,285359,534.0,17866.0,13.77,potatoes
Australia,1991,285359,534.0,17866.0,18.73,potatoes
Australia,1991,285359,534.0,17866.0,17.85,potatoes
Australia,1991,15551,534.0,17866.0,16.78,soybeans
Australia,1991,15551,534.0,17866.0,20.29,soybeans
Australia,1991,15551,534.0,17866.0,12.22,soybeans
Australia,1991,15551,534.0,17866.0,13.77,soybeans
Australia,1991,15551,534.0,17866.0,18.73,soybeans
Australia,1991,15551,534.0,17866.0,17.85,soybeans
Australia,1991,151142,534.0,17866.0,16.78,sweet potatoes
Australia,1991,151142,534.0,17866.0,20.29,sweet potatoes
Australia,1991,151142,534.0,17866.0,12.22,sweet potatoes
Australia,1991,151142,534.0,17866.0,13.77,sweet potatoes
Australia,1991,151142,534.0,17866.0,18.73,sweet potatoes
Australia,1991,151142,534.0,17866.0,17.85,sweet potatoes
Australia,1992,289220,534.0,22234.0,15.78,potatoes
Australia,1992,289220,534.0,22234.0,19.79,potatoes
Australia,1992,289220,534.0,22234.0,11.21,potatoes
Australia,1992,289220,534.0,22234.0,13.31,potatoes
Australia,1992,289220,534.0,22234.0,18.45,potatoes
Australia,1992,289220,534.0,22234.0,16.89,potatoes
Australia,1992,21141,534.0,22234.0,15.78,soybeans
Australia,1992,21141,534.0,22234.0,19.79,soybeans
Australia,1992,21141,534.0,22234.0,11.21,soybeans
Australia,1992,21141,534.0,22234.0,13.31,soybeans
Australia,1992,21141,534.0,22234.0,18.45,soybeans
Australia,1992,21141,534.0,22234.0,16.89,soybeans
Australia,1992,127548,534.0,22234.0,15.78,sweet potatoes
Australia,1992,127548,534.0,22234.0,19.79,sweet potatoes
Australia,1992,127548,534.0,22234.0,11.21,sweet potatoes
Australia,1992,127548,534.0,22234.0,13.31,sweet potatoes
Australia,1992,127548,534.0,22234.0,18.45,sweet potatoes
Australia,1992,127548,534.0,22234.0,16.89,sweet potatoes
Australia,1993,290981,534.0,23899.0,16.71,potatoes
Australia,1993,290981,534.0,23899.0,20.19,potatoes
Australia,1993,290981,534.0,23899.0,11.84,potatoes
Australia,1993,290981,534.0,23899.0,13.81,potatoes
Australia,1993,290981,534.0,23899.0,18.03,potatoes
Australia,1993,290981,534.0,23899.0,17.42,potatoes
Australia,1993,16168,534.0,23899.0,16.71,soybeans
Australia,1993,16168,534.0,23899.0,20.19,soybeans
Australia,1993,16168,534.0,23899.0,11.84,soybeans
Australia,1993,16168,534.0,23899.0,13.81,soybeans
Australia,1993,16168,534.0,23899.0,18.03,soybeans
Australia,1993,16168,534.0,23899.0,17.42,soybeans
Australia,1993,132702,534.0,23899.0,16.71,sweet potatoes
Australia,1993,132702,534.0,23899.0,20.19,sweet potatoes
Australia,1993,132702,534.0,23899.0,11.84,sweet potatoes
Australia,1993,132702,534.0,23899.0,13.81,sweet potatoes
Australia,1993,132702,534.0,23899.0,18.03,sweet potatoes
Australia,1993,132702,534.0,23899.0,17.42,sweet potatoes
Australia,1994,294270,534.0,21057.0,16.43,potatoes
Australia,1994,294270,534.0,21057.0,19.59,potatoes
Australia,1994,294270,534.0,21057.0,11.6,potatoes
Australia,1994,294270,534.0,21057.0,13.52,potatoes
Australia,1994,294270,534.0,21057.0,19.17,potatoes
Australia,1994,294270,534.0,21057.0,17.36,potatoes
Australia,1994,19999,534.0,21057.0,16.43,soybeans
Australia,1994,19999,534.0,21057.0,19.59,soybeans
Australia,1994,19999,534.0,21057.0,11.6,soybeans
Australia,1994,19999,534.0,21057.0,13.52,soybeans
Australia,1994,19999,534.0,21057.0,19.17,soybeans
Australia,1994,19999,534.0,21057.0,17.36,soybeans
Australia,1994,140961,534.0,21057.0,16.43,sweet potatoes
Australia,1994,140961,534.0,21057.0,19.59,sweet potatoes
Australia,1994,140961,534.0,21057.0,11.6,sweet potatoes
Australia,1994,140961,534.0,21057.0,13.52,sweet potatoes
Australia,1994,140961,534.0,21057.0,19.17,sweet potatoes
Australia,1994,140961,534.0,21057.0,17.36,sweet potatoes
Australia,1995,298183,534.0,25598.0,16.14,potatoes
Australia,1995,298183,534.0,25598.0,20.12,potatoes
Australia,1995,298183,534.0,25598.0,11.39,potatoes
Australia,1995,298183,534.0,25598.0,13.14,potatoes
Australia,1995,298183,534.0,25598.0,18.88,potatoes
Australia,1995,298183,534.0,25598.0,16.95,potatoes
Australia,1995,15318,534.0,25598.0,16.14,soybeans
Australia,1995,15318,534.0,25598.0,20.12,soybeans
Australia,1995,15318,534.0,25598.0,11.39,soybeans
Australia,1995,15318,534.0,25598.0,13.14,soybeans
Australia,1995,15318,534.0,25598.0,18.88,soybeans
Australia,1995,15318,534.0,25598.0,16.95,soybeans
Australia,1995,155252,534.0,25598.0,16.14,sweet potatoes
Australia,1995,155252,534.0,25598.0,20.12,sweet potatoes
Australia,1995,155252,534.0,25598.0,11.39,sweet potatoes
Australia,1995,155252,534.0,25598.0,13.14,sweet potatoes
Australia,1995,155252,534.0,25598.0,18.88,sweet potatoes
Australia,1995,155252,534.0,25598.0,16.95,sweet potatoes
Australia,1996,312853,534.0,31185.0,16.12,potatoes
Australia,1996,312853,534.0,31185.0,20.06,potatoes
Australia,1996,312853,534.0,31185.0,11.29,potatoes
Australia,1996,312853,534.0,31185.0,13.05,potatoes
Australia,1996,312853,534.0,31185.0,19.13,potatoes
Australia,1996,312853,534.0,31185.0,17.05,potatoes
Australia,1996,18740,534.0,31185.0,16.12,soybeans
Australia,1996,18740,534.0,31185.0,20.06,soybeans
Australia,1996,18740,534.0,31185.0,11.29,soybeans
Australia,1996,18740,534.0,31185.0,13.05,soybeans
Australia,1996,18740,534.0,31185.0,19.13,soybeans
Australia,1996,18740,534.0,31185.0,17.05,soybeans
Australia,1996,172474,534.0,31185.0,16.12,sweet potatoes
Australia,1996,172474,534.0,31185.0,20.06,sweet potatoes
Australia,1996,172474,534.0,31185.0,11.29,sweet potatoes
