Unnamed: 0,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,Item_normalized
115,Algeria,Potatoes,1993,111215,89.0,1021.89,17.0,potatoes
120,Algeria,Potatoes,1994,95078,89.0,1255.02,17.88,potatoes
124,Algeria,Potatoes,1995,136768,89.0,2697.09,17.36,potatoes
129,Algeria,Potatoes,1996,134629,89.0,479.77,16.76,potatoes
134,Algeria,Potatoes,1997,141042,89.0,401.22,17.84,potatoes
139,Algeria,Potatoes,1998,160256,89.0,322.84,17.14,potatoes
144,Algeria,Potatoes,1999,153532,89.0,654.45,17.97,potatoes
149,Algeria,Potatoes,2000,166143,89.0,603.67,17.9,potatoes
154,Algeria,Potatoes,2001,147018,89.0,710.11,18.13,potatoes
159,Algeria,Potatoes,2002,183774,89.0,816.55,17.85,potatoes
164,Algeria,Potatoes,2004,203585,89.0,3747.86,17.38,potatoes
169,Algeria,Potatoes,2005,216267,89.0,3662.87,17.19,potatoes
174,Algeria,Potatoes,2006,220689,89.0,4110.72,18.13,potatoes
179,Algeria,Potatoes,2007,189927,89.0,5390.79,17.42,potatoes
184,Algeria,Potatoes,2008,236393,89.0,11556.12,17.55,potatoes
189,Algeria,Potatoes,2009,250764,89.0,3867.99,17.78,potatoes
194,Algeria,Potatoes,2010,270526,89.0,1295.88,17.59,potatoes
199,Algeria,Potatoes,2011,292806,89.0,13861.76,17.79,potatoes
204,Algeria,Potatoes,2012,304291,89.0,17379.76,17.91,potatoes
209,Algeria,Potatoes,2013,303218,89.0,17278.65,17.65,potatoes
213,Angola,Cassava,1990,41177,1010.0,64.0,24.12,cassava
215,Angola,Potatoes,1990,40000,1010.0,64.0,24.12,potatoes
217,Angola,Sweet potatoes,1990,89342,1010.0,64.0,24.12,sweet potatoes
219,Angola,Cassava,1991,40295,1010.0,79.0,24.02,cassava
221,Angola,Potatoes,1991,40000,1010.0,79.0,24.02,potatoes
223,Angola,Sweet potatoes,1991,83001,1010.0,79.0,24.02,sweet potatoes
225,Angola,Cassava,1992,42295,1010.0,23.0,23.96,cassava
227,Angola,Potatoes,1992,40000,1010.0,23.0,23.96,potatoes
229,Angola,Sweet potatoes,1992,90000,1010.0,23.0,23.96,sweet potatoes
231,Angola,Cassava,1993,42295,1010.0,169.0,24.15,cassava
233,Angola,Potatoes,1993,70000,1010.0,169.0,24.15,potatoes
235,Angola,Sweet potatoes,1993,88095,1010.0,169.0,24.15,sweet potatoes
237,Angola,Cassava,1994,58596,1010.0,25.5,24.04,cassava
239,Angola,Potatoes,1994,90000,1010.0,25.5,24.04,potatoes
241,Angola,Sweet potatoes,1994,83192,1010.0,25.5,24.04,sweet potatoes
243,Angola,Cassava,1995,51000,1010.0,336.0,24.56,cassava
245,Angola,Potatoes,1995,76738,1010.0,336.0,24.56,potatoes
247,Angola,Sweet potatoes,1995,81138,1010.0,336.0,24.56,sweet potatoes
249,Angola,Cassava,1996,48077,1010.0,40.0,24.11,cassava
251,Angola,Potatoes,1996,70000,1010.0,40.0,24.11,potatoes
253,Angola,Sweet potatoes,1996,85455,1010.0,40.0,24.11,sweet potatoes
255,Angola,Cassava,1997,44205,1010.0,40.0,24.06,cassava
257,Angola,Potatoes,1997,68571,1010.0,40.0,24.06,potatoes
259,Angola,Sweet potatoes,1997,78098,1010.0,40.0,24.06,sweet potatoes
261,Angola,Cassava,1998,55728,1010.0,40.0,24.96,cassava
263,Angola,Potatoes,1998,62724,1010.0,40.0,24.96,potatoes
265,Angola,Sweet potatoes,1998,76256,1010.0,40.0,24.96,sweet potatoes
267,Angola,Cassava,1999,59821,1010.0,40.0,24.37,cassava
269,Angola,Potatoes,1999,54597,1010.0,40.0,24.37,potatoes
271,Angola,Sweet potatoes,1999,82865,1010.0,40.0,24.37,sweet potatoes
273,Angola,Cassava,2000,82992,1010.0,40.0,24.41,cassava
275,Angola,Potatoes,2000,29885,1010.0,40.0,24.41,potatoes
278,Angola,Soybeans,2000,2333,1010.0,40.0,24.41,soybeans
279,Angola,Sweet potatoes,2000,34938,1010.0,40.0,24.41,sweet potatoes
281,Angola,Cassava,2001,94072,1010.0,40.0,24.43,cassava
283,Angola,Potatoes,2001,42552,1010.0,40.0,24.43,potatoes
286,Angola,Soybeans,2001,2500,1010.0,40.0,24.43,soybeans
287,Angola,Sweet potatoes,2001,44458,1010.0,40.0,24.43,sweet potatoes
289,Angola,Cassava,2002,110071,1010.0,40.0,24.79,cassava
291,Angola,Potatoes,2002,42754,1010.0,40.0,24.79,potatoes
294,Angola,Soybeans,2002,2857,1010.0,40.0,24.79,soybeans
295,Angola,Sweet potatoes,2002,42190,1010.0,40.0,24.79,sweet potatoes
297,Angola,Cassava,2004,125605,1010.0,40.0,24.22,cassava
299,Angola,Potatoes,2004,20150,1010.0,40.0,24.22,potatoes
302,Angola,Soybeans,2004,3600,1010.0,40.0,24.22,soybeans
303,Angola,Sweet potatoes,2004,45360,1010.0,40.0,24.22,sweet potatoes
305,Angola,Cassava,2005,117628,1010.0,40.0,24.41,cassava
307,Angola,Potatoes,2005,23646,1010.0,40.0,24.41,potatoes
310,Angola,Soybeans,2005,3793,1010.0,40.0,24.41,soybeans
311,Angola,Sweet potatoes,2005,46159,1010.0,40.0,24.41,sweet potatoes
313,Angola,Cassava,2006,117201,1010.0,40.0,24.14,cassava
315,Angola,Potatoes,2006,52148,1010.0,40.0,24.14,potatoes
318,Angola,Soybeans,2006,4286,1010.0,40.0,24.14,soybeans
319,Angola,Sweet potatoes,2006,44240,1010.0,40.0,24.14,sweet potatoes
321,Angola,Cassava,2007,115387,1010.0,40.0,24.24,cassava
323,Angola,Potatoes,2007,62138,1010.0,40.0,24.24,potatoes
326,Angola,Soybeans,2007,6883,1010.0,40.0,24.24,soybeans
327,Angola,Sweet potatoes,2007,58855,1010.0,40.0,24.24,sweet potatoes
329,Angola,Cassava,2008,148084,1010.0,40.0,24.27,cassava
331,Angola,Potatoes,2008,85085,1010.0,40.0,24.27,potatoes
334,Angola,Soybeans,2008,8575,1010.0,40.0,24.27,soybeans
335,Angola,Sweet potatoes,2008,65437,1010.0,40.0,24.27,sweet potatoes
337,Angola,Cassava,2009,151759,1010.0,40.0,24.33,cassava
339,Angola,Potatoes,2009,86509,1010.0,40.0,24.33,potatoes
342,Angola,Soybeans,2009,4449,1010.0,40.0,24.33,soybeans
343,Angola,Sweet potatoes,2009,66475,1010.0,40.0,24.33,sweet potatoes
345,Angola,Cassava,2010,155782,1010.0,40.0,24.44,cassava
347,Angola,Potatoes,2010,87425,1010.0,40.0,24.44,potatoes
350,Angola,Soybeans,2010,4446,1010.0,40.0,24.44,soybeans
351,Angola,Sweet potatoes,2010,63001,1010.0,40.0,24.44,sweet potatoes
353,Angola,Cassava,2011,133649,1010.0,40.0,24.15,cassava
355,Angola,Potatoes,2011,81366,1010.0,40.0,24.15,potatoes
358,Angola,Soybeans,2011,5294,1010.0,40.0,24.15,soybeans
359,Angola,Sweet potatoes,2011,65512,1010.0,40.0,24.15,sweet potatoes
361,Angola,Cassava,2012,100073,1010.0,40.0,24.24,cassava
363,Angola,Potatoes,2012,69381,1010.0,40.0,24.24,potatoes
366,Angola,Soybeans,2012,1641,1010.0,40.0,24.24,soybeans
367,Angola,Sweet potatoes,2012,52954,1010.0,40.0,24.24,sweet potatoes
369,Angola,Cassava,2013,140517,1010.0,40.0,24.55,cassava
371,Angola,Potatoes,2013,63303,1010.0,40.0,24.55,potatoes
374,Angola,Soybeans,2013,4405,1010.0,40.0,24.55,soybeans
375,Angola,Sweet potatoes,2013,73409,1010.0,40.0,24.55,sweet potatoes
377,Argentina,Cassava,1990,100000,591.0,26156.0,17.46,cassava
378,Argentina,Cassava,1990,100000,591.0,26156.0,17.67,cassava
381,Argentina,Potatoes,1990,202747,591.0,26156.0,17.46,potatoes
382,Argentina,Potatoes,1990,202747,591.0,26156.0,17.67,potatoes
387,Argentina,Soybeans,1990,21566,591.0,26156.0,17.46,soybeans
388,Argentina,Soybeans,1990,21566,591.0,26156.0,17.67,soybeans
389,Argentina,Sweet potatoes,1990,131864,591.0,26156.0,17.46,sweet potatoes
390,Argentina,Sweet potatoes,1990,131864,591.0,26156.0,17.67,sweet potatoes
393,Argentina,Cassava,1991,100000,591.0,26156.0,17.64,cassava
394,Argentina,Cassava,1991,100000,591.0,26156.0,17.86,cassava
397,Argentina,Potatoes,1991,205692,591.0,26156.0,17.64,potatoes
398,Argentina,Potatoes,1991,205692,591.0,26156.0,17.86,potatoes
403,Argentina,Soybeans,1991,22750,591.0,26156.0,17.64,soybeans
404,Argentina,Soybeans,1991,22750,591.0,26156.0,17.86,soybeans
405,Argentina,Sweet potatoes,1991,131364,591.0,26156.0,17.64,sweet potatoes
406,Argentina,Sweet potatoes,1991,131364,591.0,26156.0,17.86,sweet potatoes
409,Argentina,Cassava,1992,100000,591.0,26156.0,17.09,cassava
410,Argentina,Cassava,1992,100000,591.0,26156.0,17.51,cassava
413,Argentina,Potatoes,1992,199039,591.0,26156.0,17.09,potatoes
414,Argentina,Potatoes,1992,199039,591.0,26156.0,17.51,potatoes
419,Argentina,Soybeans,1992,22915,591.0,26156.0,17.09,soybeans
420,Argentina,Soybeans,1992,22915,591.0,26156.0,17.51,soybeans
421,Argentina,Sweet potatoes,1992,127273,591.0,26156.0,17.09,sweet potatoes
422,Argentina,Sweet potatoes,1992,127273,591.0,26156.0,17.51,sweet potatoes
425,Argentina,Cassava,1993,100000,591.0,26156.0,17.32,cassava
426,Argentina,Cassava,1993,100000,591.0,26156.0,17.53,cassava
429,Argentina,Potatoes,1993,210314,591.0,26156.0,17.32,potatoes
430,Argentina,Potatoes,1993,210314,591.0,26156.0,17.53,potatoes
435,Argentina,Soybeans,1993,21589,591.0,26156.0,17.32,soybeans
436,Argentina,Soybeans,1993,21589,591.0,26156.0,17.53,soybeans
437,Argentina,Sweet potatoes,1993,122955,591.0,26156.0,17.32,sweet potatoes
438,Argentina,Sweet potatoes,1993,122955,591.0,26156.0,17.53,sweet potatoes
441,Argentina,Cassava,1994,100000,591.0,30195.0,18.17,cassava
442,Argentina,Cassava,1994,100000,591.0,30195.0,18.31,cassava
445,Argentina,Potatoes,1994,230166,591.0,30195.0,18.17,potatoes
446,Argentina,Potatoes,1994,230166,591.0,30195.0,18.31,potatoes
451,Argentina,Soybeans,1994,20386,591.0,30195.0,18.17,soybeans
452,Argentina,Soybeans,1994,20386,591.0,30195.0,18.31,soybeans
453,Argentina,Sweet potatoes,1994,176667,591.0,30195.0,18.17,sweet potatoes
454,Argentina,Sweet potatoes,1994,176667,591.0,30195.0,18.31,sweet potatoes
457,Argentina,Cassava,1995,100000,591.0,37842.0,17.74,cassava
458,Argentina,Cassava,1995,100000,591.0,37842.0,17.62,cassava
461,Argentina,Potatoes,1995,274272,591.0,37842.0,17.74,potatoes
462,Argentina,Potatoes,1995,274272,591.0,37842.0,17.62,potatoes
467,Argentina,Soybeans,1995,20446,591.0,37842.0,17.74,soybeans
468,Argentina,Soybeans,1995,20446,591.0,37842.0,17.62,soybeans
469,Argentina,Sweet potatoes,1995,168000,591.0,37842.0,17.74,sweet potatoes
470,Argentina,Sweet potatoes,1995,168000,591.0,37842.0,17.62,sweet potatoes
473,Argentina,Cassava,1996,100000,591.0,54595.0,17.64,cassava
474,Argentina,Cassava,1996,100000,591.0,54595.0,17.97,cassava
477,Argentina,Potatoes,1996,228877,591.0,54595.0,17.64,potatoes
478,Argentina,Potatoes,1996,228877,591.0,54595.0,17.97,potatoes
483,Argentina,Soybeans,1996,21051,591.0,54595.0,17.64,soybeans
484,Argentina,Soybeans,1996,21051,591.0,54595.0,17.97,soybeans
485,Argentina,Sweet potatoes,1996,170000,591.0,54595.0,17.64,sweet potatoes
486,Argentina,Sweet potatoes,1996,170000,591.0,54595.0,17.97,sweet potatoes
489,Argentina,Cassava,1997,100000,591.0,77691.0,18.29,cassava
490,Argentina,Cassava,1997,100000,591.0,77691.0,18.54,cassava
493,Argentina,Potatoes,1997,268502,591.0,77691.0,18.29,potatoes
494,Argentina,Potatoes,1997,268502,591.0,77691.0,18.54,potatoes
499,Argentina,Soybeans,1997,17212,591.0,77691.0,18.29,soybeans
500,Argentina,Soybeans,1997,17212,591.0,77691.0,18.54,soybeans
501,Argentina,Sweet potatoes,1997,145662,591.0,77691.0,18.29,sweet potatoes
502,Argentina,Sweet potatoes,1997,145662,591.0,77691.0,18.54,sweet potatoes
505,Argentina,Cassava,1998,100000,591.0,62397.0,17.23,cassava
506,Argentina,Cassava,1998,100000,591.0,62397.0,17.52,cassava
509,Argentina,Potatoes,1998,293744,591.0,62397.0,17.23,potatoes
510,Argentina,Potatoes,1998,293744,591.0,62397.0,17.52,potatoes
515,Argentina,Soybeans,1998,26937,591.0,62397.0,17.23,soybeans
516,Argentina,Soybeans,1998,26937,591.0,62397.0,17.52,soybeans
517,Argentina,Sweet potatoes,1998,175055,591.0,62397.0,17.23,sweet potatoes
518,Argentina,Sweet potatoes,1998,175055,591.0,62397.0,17.52,sweet potatoes
521,Argentina,Cassava,1999,100000,591.0,62831.39,17.15,cassava
522,Argentina,Cassava,1999,100000,591.0,62831.39,17.71,cassava
525,Argentina,Potatoes,1999,238938,591.0,62831.39,17.15,potatoes
526,Argentina,Potatoes,1999,238938,591.0,62831.39,17.71,potatoes
531,Argentina,Soybeans,1999,24450,591.0,62831.39,17.15,soybeans
532,Argentina,Soybeans,1999,24450,591.0,62831.39,17.71,soybeans
533,Argentina,Sweet potatoes,1999,143991,591.0,62831.39,17.15,sweet potatoes
534,Argentina,Sweet potatoes,1999,143991,591.0,62831.39,17.71,sweet potatoes
537,Argentina,Cassava,2000,100000,591.0,63265.78,16.98,cassava
538,Argentina,Cassava,2000,100000,591.0,63265.78,17.66,cassava
541,Argentina,Potatoes,2000,277566,591.0,63265.78,16.98,potatoes
542,Argentina,Potatoes,2000,277566,591.0,63265.78,17.66,potatoes
547,Argentina,Soybeans,2000,23312,591.0,63265.78,16.98,soybeans
548,Argentina,Soybeans,2000,23312,591.0,63265.78,17.66,soybeans
549,Argentina,Sweet potatoes,2000,151462,591.0,63265.78,16.98,sweet potatoes
550,Argentina,Sweet potatoes,2000,151462,591.0,63265.78,17.66,sweet potatoes
553,Argentina,Cassava,2001,100000,591.0,63700.17,17.71,cassava
554,Argentina,Cassava,2001,100000,591.0,63700.17,18.42,cassava
557,Argentina,Potatoes,2001,283768,591.0,63700.17,17.71,potatoes
558,Argentina,Potatoes,2001,283768,591.0,63700.17,18.42,potatoes
563,Argentina,Soybeans,2001,25846,591.0,63700.17,17.71,soybeans
564,Argentina,Soybeans,2001,25846,591.0,63700.17,18.42,soybeans
565,Argentina,Sweet potatoes,2001,155212,591.0,63700.17,17.71,sweet potatoes
566,Argentina,Sweet potatoes,2001,155212,591.0,63700.17,18.42,sweet potatoes
569,Argentina,Cassava,2002,100000,591.0,64134.56,17.58,cassava
570,Argentina,Cassava,2002,100000,591.0,64134.56,18.07,cassava
573,Argentina,Potatoes,2002,251347,591.0,64134.56,17.58,potatoes
574,Argentina,Potatoes,2002,251347,591.0,64134.56,18.07,potatoes
579,Argentina,Soybeans,2002,26304,591.0,64134.56,17.58,soybeans
580,Argentina,Soybeans,2002,26304,591.0,64134.56,18.07,soybeans
581,Argentina,Sweet potatoes,2002,155890,591.0,64134.56,17.58,sweet potatoes
582,Argentina,Sweet potatoes,2002,155890,591.0,64134.56,18.07,sweet potatoes
585,Argentina,Cassava,2004,100000,591.0,65003.34,17.67,cassava
586,Argentina,Cassava,2004,100000,591.0,65003.34,18.11,cassava
589,Argentina,Potatoes,2004,288717,591.0,65003.34,17.67,potatoes
590,Argentina,Potatoes,2004,288717,591.0,65003.34,18.11,potatoes
595,Argentina,Soybeans,2004,22075,591.0,65003.34,17.67,soybeans
596,Argentina,Soybeans,2004,22075,591.0,65003.34,18.11,soybeans
597,Argentina,Sweet potatoes,2004,154867,591.0,65003.34,17.67,sweet potatoes
598,Argentina,Sweet potatoes,2004,154867,591.0,65003.34,18.11,sweet potatoes
601,Argentina,Cassava,2005,100000,591.0,65437.73,17.32,cassava
602,Argentina,Cassava,2005,100000,591.0,65437.73,17.83,cassava
605,Argentina,Potatoes,2005,283917,591.0,65437.73,17.32,potatoes
606,Argentina,Potatoes,2005,283917,591.0,65437.73,17.83,potatoes
611,Argentina,Soybeans,2005,27287,591.0,65437.73,17.32,soybeans
612,Argentina,Soybeans,2005,27287,591.0,65437.73,17.83,soybeans
613,Argentina,Sweet potatoes,2005,154472,591.0,65437.73,17.32,sweet potatoes
614,Argentina,Sweet potatoes,2005,154472,591.0,65437.73,17.83,sweet potatoes
617,Argentina,Cassava,2006,100000,591.0,65872.12,18.1,cassava
618,Argentina,Cassava,2006,100000,591.0,65872.12,18.35,cassava
621,Argentina,Potatoes,2006,285828,591.0,65872.12,18.1,potatoes
622,Argentina,Potatoes,2006,285828,591.0,65872.12,18.35,potatoes
627,Argentina,Soybeans,2006,26793,591.0,65872.12,18.1,soybeans
628,Argentina,Soybeans,2006,26793,591.0,65872.12,18.35,soybeans
629,Argentina,Sweet potatoes,2006,143478,591.0,65872.12,18.1,sweet potatoes
630,Argentina,Sweet potatoes,2006,143478,591.0,65872.12,18.35,sweet potatoes
633,Argentina,Cassava,2007,100000,591.0,81582.64,16.71,cassava
634,Argentina,Cassava,2007,100000,591.0,81582.64,17.14,cassava
637,Argentina,Potatoes,2007,286765,591.0,81582.64,16.71,potatoes
638,Argentina,Potatoes,2007,286765,591.0,81582.64,17.14,potatoes
643,Argentina,Soybeans,2007,29712,591.0,81582.64,16.71,soybeans
644,Argentina,Soybeans,2007,29712,591.0,81582.64,17.14,soybeans
645,Argentina,Sweet potatoes,2007,141667,591.0,81582.64,16.71,sweet potatoes
646,Argentina,Sweet potatoes,2007,141667,591.0,81582.64,17.14,sweet potatoes
649,Argentina,Cassava,2008,100000,591.0,87149.01,17.71,cassava
650,Argentina,Cassava,2008,100000,591.0,87149.01,18.39,cassava
653,Argentina,Potatoes,2008,279412,591.0,87149.01,17.71,potatoes
654,Argentina,Potatoes,2008,279412,591.0,87149.01,18.39,potatoes
659,Argentina,Soybeans,2008,28216,591.0,87149.01,17.71,soybeans
660,Argentina,Soybeans,2008,28216,591.0,87149.01,18.39,soybeans
661,Argentina,Sweet potatoes,2008,145105,591.0,87149.01,17.71,sweet potatoes
662,Argentina,Sweet potatoes,2008,145105,591.0,87149.01,18.39,sweet potatoes
665,Argentina,Cassava,2009,101695,591.0,61586.56,18.16,cassava
666,Argentina,Cassava,2009,101695,591.0,61586.56,18.09,cassava
669,Argentina,Potatoes,2009,284439,591.0,61586.56,18.16,potatoes
670,Argentina,Potatoes,2009,284439,591.0,61586.56,18.09,potatoes
675,Argentina,Soybeans,2009,18480,591.0,61586.56,18.16,soybeans
676,Argentina,Soybeans,2009,18480,591.0,61586.56,18.09,soybeans
677,Argentina,Sweet potatoes,2009,151208,591.0,61586.56,18.16,sweet potatoes
678,Argentina,Sweet potatoes,2009,151208,591.0,61586.56,18.09,sweet potatoes
681,Argentina,Cassava,2010,101000,591.0,105915.04,17.33,cassava
682,Argentina,Cassava,2010,101000,591.0,105915.04,17.84,cassava
685,Argentina,Potatoes,2010,289849,591.0,105915.04,17.33,potatoes
686,Argentina,Potatoes,2010,289849,591.0,105915.04,17.84,potatoes
691,Argentina,Soybeans,2010,29053,591.0,105915.04,17.33,soybeans
692,Argentina,Soybeans,2010,29053,591.0,105915.04,17.84,soybeans
693,Argentina,Sweet potatoes,2010,149382,591.0,105915.04,17.33,sweet potatoes
694,Argentina,Sweet potatoes,2010,149382,591.0,105915.04,17.84,sweet potatoes
697,Argentina,Cassava,2011,100000,591.0,100424.62,17.58,cassava
698,Argentina,Cassava,2011,100000,591.0,100424.62,17.93,cassava
701,Argentina,Potatoes,2011,286657,591.0,100424.62,17.58,potatoes
702,Argentina,Potatoes,2011,286657,591.0,100424.62,17.93,potatoes
707,Argentina,Soybeans,2011,26053,591.0,100424.62,17.58,soybeans
708,Argentina,Soybeans,2011,26053,591.0,100424.62,17.93,soybeans
709,Argentina,Sweet potatoes,2011,148754,591.0,100424.62,17.58,sweet potatoes
710,Argentina,Sweet potatoes,2011,148754,591.0,100424.62,17.93,sweet potatoes
713,Argentina,Cassava,2012,100000,591.0,136185.08,18.18,cassava
714,Argentina,Cassava,2012,100000,591.0,136185.08,18.43,cassava
717,Argentina,Potatoes,2012,287821,591.0,136185.08,18.18,potatoes
718,Argentina,Potatoes,2012,287821,591.0,136185.08,18.43,potatoes
723,Argentina,Soybeans,2012,22814,591.0,136185.08,18.18,soybeans
724,Argentina,Soybeans,2012,22814,591.0,136185.08,18.43,soybeans
725,Argentina,Sweet potatoes,2012,148126,591.0,136185.08,18.18,sweet potatoes
726,Argentina,Sweet potatoes,2012,148126,591.0,136185.08,18.43,sweet potatoes
729,Argentina,Cassava,2013,99459,591.0,171945.54,16.45,cassava
730,Argentina,Cassava,2013,99459,591.0,171945.54,16.88,cassava
733,Argentina,Potatoes,2013,288984,591.0,171945.54,16.45,potatoes
734,Argentina,Potatoes,2013,288984,591.0,171945.54,16.88,potatoes
739,Argentina,Soybeans,2013,25391,591.0,171945.54,16.45,soybeans
740,Argentina,Soybeans,2013,25391,591.0,171945.54,16.88,soybeans
741,Argentina,Sweet potatoes,2013,147498,591.0,171945.54,16.45,sweet potatoes
742,Argentina,Sweet potatoes,2013,147498,591.0,171945.54,16.88,sweet potatoes
746,Armenia,Potatoes,1992,111301,562.0,8.0,7.44,potatoes
749,Armenia,Potatoes,1993,134416,562.0,8.0,7.69,potatoes
752,Armenia,Potatoes,1994,131195,562.0,23.0,8.84,potatoes
755,Armenia,Potatoes,1995,131196,562.0,23.9,9.76,potatoes
758,Armenia,Potatoes,1996,129626,562.0,32.0,9.55,potatoes
761,Armenia,Potatoes,1997,109362,562.0,41.46,9.1,potatoes
764,Armenia,Potatoes,1998,134409,562.0,50.92,10.28,potatoes
767,Armenia,Potatoes,1999,130618,562.0,60.38,10.11,potatoes
770,Armenia,Potatoes,2000,87349,562.0,69.85,9.68,potatoes
773,Armenia,Potatoes,2001,114619,562.0,79.31,10.18,potatoes
776,Armenia,Potatoes,2002,122814,562.0,88.77,9.41,potatoes
779,Armenia,Potatoes,2004,161509,562.0,204.77,9.55,potatoes
782,Armenia,Potatoes,2005,164459,562.0,220.51,9.58,potatoes
785,Armenia,Potatoes,2006,163418,562.0,227.55,9.89,potatoes
788,Armenia,Potatoes,2007,184719,562.0,241.71,9.44,potatoes
791,Armenia,Potatoes,2008,189096,562.0,218.2,9.51,potatoes
794,Armenia,Potatoes,2009,185496,562.0,198.36,9.67,potatoes
797,Armenia,Potatoes,2010,170146,562.0,278.72,11.31,potatoes
800,Armenia,Potatoes,2011,194426,562.0,278.72,8.93,potatoes
803,Armenia,Potatoes,2012,207151,562.0,278.72,10.2,potatoes
806,Armenia,Potatoes,2013,215290,562.0,278.72,11.08,potatoes
814,Australia,Potatoes,1990,289832,534.0,17866.0,16.8,potatoes
815,Australia,Potatoes,1990,289832,534.0,17866.0,20.06,potatoes
816,Australia,Potatoes,1990,289832,534.0,17866.0,12.11,potatoes
817,Australia,Potatoes,1990,289832,534.0,17866.0,14.16,potatoes
818,Australia,Potatoes,1990,289832,534.0,17866.0,18.05,potatoes
819,Australia,Potatoes,1990,289832,534.0,17866.0,17.47,potatoes
832,Australia,Soybeans,1990,15718,534.0,17866.0,16.8,soybeans
833,Australia,Soybeans,1990,15718,534.0,17866.0,20.06,soybeans
834,Australia,Soybeans,1990,15718,534.0,17866.0,12.11,soybeans
835,Australia,Soybeans,1990,15718,534.0,17866.0,14.16,soybeans
836,Australia,Soybeans,1990,15718,534.0,17866.0,18.05,soybeans
837,Australia,Soybeans,1990,15718,534.0,17866.0,17.47,soybeans
838,Australia,Sweet potatoes,1990,137140,534.0,17866.0,16.8,sweet potatoes
839,Australia,Sweet potatoes,1990,137140,534.0,17866.0,20.06,sweet potatoes
840,Australia,Sweet potatoes,1990,137140,534.0,17866.0,12.11,sweet potatoes
